mg_id,indicator,direction,model,hp_set_id,num_iterations,learning_rate,num_leaves,min_data_in_leaf,bagging_freq,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
7541,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-141,138,0.9796948077785782,42,8,0,1,0.8306441599037498,0,0.4831690804567188,0.06976744186046512,3.6889134409818936,0.25199513428929465,0.928978587962963,0.6564601342132199,0.23274161735700197,3.0042984722899617,2.071807412036444,0.6213618143000305,0.32900063867732315,2.8049999999998363
7542,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-142,16,0.5228963270853274,68,30,0,1,0.9542188111227006,0.8193491259589791,0.7253522600512952,0.06976744186046512,3.6715146890908077,0.1418132126675385,0.9348813657407408,0.6130970872091447,0.23274161735700197,3.020377525750983,0.9137889093714604,0.6473029497625375,0.35545818898786835,0.7190000000000509
7543,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-143,102,0.5064789278898388,42,33,0,1,0.83689458463341,0.22452007024548948,0.3106554273981601,0.06976744186046512,3.7005907668138502,0.1723791881766439,0.9284288194444444,0.6494756883706544,0.23274161735700197,3.1135134174078396,1.1955155884504174,0.6553091368567818,0.3924149259467807,1.568000000000211
7544,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-144,52,0.10257519807433708,69,13,5,0.8670763405039906,0.8948531708214432,0.03115733410231769,0,0.06976744186046512,3.678520008625093,0.14275592204545656,0.9466435185185185,0.6065973918824559,0.23274161735700197,3.0804388308730166,0.8613638151331606,0.674221711472267,0.3675928420185532,2.587999999999994
7545,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-145,20,0.4000612943572924,35,28,5,0.8097430136054754,0.8613770331721753,0,0.048926183953881264,0.06976744186046512,3.673722793974617,0.1594775718008675,0.9306568287037037,0.5561767876789638,0.23274161735700197,2.9789769722882835,0.8711879484345237,0.66010740272755,0.3448625868176585,0.6459999999997308
7546,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-146,150,0.747165662588086,13,50,0,1,0.8534611116163433,0.4675047534983605,0.8933592834509909,0.06976744186046512,3.687038886551577,0.18092965201794878,0.9322482638888888,0.6031889954708793,0.23274161735700197,2.963552082541313,1.2029075627592127,0.6585143348873688,0.35112342768807253,1.4409999999998035
7547,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-147,30,0.4675254382728599,36,20,0,1,0.841326515423134,0,0,0.06976744186046512,3.6859332959534212,0.1897036544409786,0.9276837384259259,0.5562405156494764,0.23274161735700197,3.031320589462276,1.1565822847936411,0.6484031196897738,0.36987214015783576,0.9179999999996653
7548,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-148,195,0.6091339366976172,26,40,0,1,0.8711207575164736,0,0,0.06976744186046512,3.7141863901964154,0.3258581173003802,0.9417245370370371,0.6601960078987373,0.23274161735700197,3.1257650510549557,2.3045452115146037,0.6654884318766067,0.37381044615722103,2.423000000000002
7549,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-149,87,0.15356382093857976,32,49,0,1,0.9440907667391002,0,0,0.06976744186046512,3.6833892218003075,0.14120908859799594,0.9506799768518519,0.6244176727473143,0.23274161735700197,3.0464872451392493,0.8973711268507304,0.6793767156115202,0.37326584756815134,1.8710000000000946
7550,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-150,190,0.28759404700016605,13,37,0,1,0.8110452247783542,0,0,0.06976744186046512,3.6972592452909843,0.14918045014394707,0.9593171296296297,0.6563002321265624,0.23274161735700197,3.0280596063731107,1.0635892988400943,0.6850790815215023,0.37006339489246776,1.7459999999998672
7551,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-151,176,0.9813519162801094,54,35,0,1,0.9469513437245041,0,0.5221014232374728,0.06976744186046512,3.713853441555468,0.24310839404789736,0.9317708333333333,0.6587601920081678,0.23274161735700197,3.0578395826522358,1.8030012481259539,0.6337305564027711,0.3418543776569199,3.3060000000004948
7552,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-152,157,0.5271641587652266,47,22,0,1,0.8635212396737189,0.9384799303952605,0,0.06976744186046512,3.6864190164052055,0.15941235441901258,0.9365162037037037,0.5762684299633325,0.23274161735700197,3.04970406143965,1.0576608678054713,0.648898740795608,0.36042117885491354,1.2699999999999818
7553,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-153,173,0.964565029675141,66,47,1,0.6658984475769102,0.8926380359567702,0,0,0.06976744186046512,3.565891472868217,4.88964290162442,0.5095486111111112,0.12278628600239491,0.23274161735700197,3.0562130177514795,9.206416398206452,0.5535706505163174,0.3911221754390325,1.4090000000001055
7554,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-154,66,0.830676804347895,44,14,4,0.9064314654096961,0.8459002664778382,0,0.8631268686149269,0.06976744186046512,3.7043707781290074,0.2424876156813174,0.9105613425925926,0.5932274979258922,0.23274161735700197,3.0782327624809147,1.624233235580765,0.6154252538015773,0.33498350737661886,1.5340000000001055
7555,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-155,193,0.042146845955867325,42,39,0,1,0.9425937026273459,0.5347186622675508,0,0.06976744186046512,3.6706834303552416,0.13243491656202677,0.949464699074074,0.6219911546851947,0.23274161735700197,3.0587071488524207,0.7718912362871423,0.6876987930809115,0.37685486315086186,5.287000000000035
7556,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-156,31,0.36359683928079906,45,6,3,0.7454250916838646,0.8037135981954635,0.5442376665305346,0,0.06976744186046512,3.6766039318155532,0.17453077372737533,0.9203559027777778,0.5352695907732345,0.23274161735700197,3.1238253930905096,1.035751496600145,0.6631655483421202,0.35856832632458296,1.11200000000008
7557,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-157,71,0.8603030510037206,31,12,1,0.8751423331908881,0.8814347709529102,0.2441241154447198,0,0.06976744186046512,3.531983037730817,4.463123994440478,0.6273582175925927,0.28439132121879507,0.23274161735700197,2.8796844181459567,11.090354888959125,0.5313031022613395,0.34481755047287393,1.6279999999997017
7558,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-158,15,0.41630847748834643,21,15,0,1,0.830702016595751,0,0.5221014232374728,0.06976744186046512,3.6234221056536344,0.17327160860397786,0.9053819444444444,0.4203227316080569,0.23274161735700197,3.0009483116413063,0.7714633442085205,0.6445797568733389,0.3434306156834537,0.48900000000003274
7559,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-159,175,0.6117733180010692,49,34,3,0.8432142549194396,0.8544789944309742,0,0,0.06976744186046512,3.7179315789400547,0.288314059458211,0.9486834490740741,0.6808408130964632,0.23274161735700197,3.1168299936902137,2.4581693686102697,0.6367750860528953,0.3591820935966154,2.83199999999988
7560,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-160,51,0.9702393640275113,34,43,3,0.9857168863527477,0.9754554585553705,0.010840347968041897,0.7375071989372373,0.06976744186046512,3.6866168196456126,0.19688725897616324,0.9394386574074074,0.5937865825300019,0.23274161735700197,3.0860709723050537,1.5494874947250252,0.6168304213324038,0.3258051926771972,1.211999999999989
7561,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-161,94,0.28382592502515763,62,38,0,1,0.9275367686990649,0,0,0.06976744186046512,3.711725124030955,0.2318174004469269,0.9576099537037037,0.6626964328681938,0.23274161735700197,3.1216717423440663,1.746821369518539,0.6676234151017385,0.37545433754855706,2.826000000000022
7562,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-162,37,0.3856464879424311,11,24,3,0.8313530221581459,0.8269969645421953,0,0,0.06976744186046512,3.6337535111564128,0.17055904590445112,0.9051287615740741,0.4766381687223831,0.23274161735700197,2.915148069055275,0.8261619672474699,0.6606520413053898,0.34168764720335487,0.5170000000000528
7563,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-163,148,0.06605753706535324,38,18,3,0.8847807911224663,0.8618522775359452,0.015214001759886742,0,0.06976744186046512,3.682871524943359,0.1378651214471961,0.9506655092592593,0.6323134171169605,0.23274161735700197,3.060995595695528,0.8695932342070061,0.6749270184305695,0.36136167060526786,4.420000000000073
