gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG
395,1997,10481070032.2032,4.140870450647087,38649.22232724658,3.2866130490719128
402,1997,645742611.607662,11.11842605837563,1492.0201979162587,9.265628568440336
403,1997,130999443.003646,0.9963209305406718,942.9745791950562,-0.428241076516516
404,1997,769886500.621982,6.499999993214613,660.5377747079538,4.488867862022206
411,1997,1468403404.76972,149.9729634879659,2380.321068272326,140.49057785774815
420,1997,826492963.259544,4.899999109996768,617.2973671535582,1.9635752552697112
432,1997,7116972455.37723,4.121339543215116,668.4803266593588,1.7818283255317993
433,1997,8937561242.89432,3.0456010348542812,962.7366894573994,0.6426897651626101
434,1997,5364793325.18214,5.734688375212944,814.9013335477333,2.6589000567062047
435,1997,3330406023.24105,-4.044696546782301,1381.1627488344698,-6.158469667584065
436,1997,4171499823.06338,1.5274757105065684,401.72496876684585,-1.788192205120067
437,1997,28903065478.586,9.64884004746347,1801.1316312213305,5.5159008380309835
438,1997,4693574823.86752,5.181603457737659,591.7735301552594,3.0420646398721183
439,1997,4350059854.87114,6.316834734837606,397.8389552573731,3.611027296263505
450,1997,1084122317.29609,106.2798144666164,449.2860586169642,90.83222410709764
451,1997,3023302224.4158,-5.877080845755358,710.7438718964162,-7.083136297738854
452,1997,17709950508.414,4.196357440195614,970.9957659813617,1.7468261356911141
461,1997,3516020702.28262,14.377377572431582,744.1266409488659,10.814877724317428
471,1997,15107243821.2788,4.527313766250313,1096.6975773500724,1.7921439406066375
475,1997,165819683303.941,2.9370994192485713,1420.238785694213,0.29213185541168957
481,1997,10479512210.8024,5.738367394838894,8870.121754691967,3.104886297068384
482,1997,1584443041.5758,5.299936018260964,448.63472715495755,2.445549136041743
483,1997,4289727783.36846,5.65339233100981,559.2598558358832,2.0685385468117743
484,1997,5962723473.06651,-0.6248121522606844,2064.7536042465013,-2.726570489664047
490,1997,19561171399.3376,-5.617046598701032,424.9666097342028,-7.1216377223661445
500,1997,10452668511.6708,5.100001864763076,478.25067492977166,2.0969640661577778
501,1997,34458259247.3522,0.4749019212937294,1226.1954429504194,-2.233661340335238
510,1997,16263399690.2487,3.5252781894102636,515.0216560048551,1.452263936341462
516,1997,1662521061.74171,-1.5899999968583216,273.8895483328962,-1.5824855455577558
517,1997,2224242542.66166,13.849752485781899,286.80519445846284,-1.5128715733128746
