outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2006,2007 - 2008,145,0.2055,0.6808865,0.143
v2x_freexp_altinf,2006,2007 - 2008,150,0.018,0.959414,0.023
v2x_freexp_altinf,2006,2007 - 2008,155,0.002,0.990016,0.008
v2x_freexp_altinf,2006,2007 - 2008,160,0.033,0.8997934999999999,0.0695
v2x_freexp_altinf,2006,2007 - 2008,165,0,0.9965,0.0035
v2x_freexp_altinf,2006,2007 - 2008,200,0,0.997,0.003
v2x_freexp_altinf,2006,2007 - 2008,205,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,210,0,0.9985,0.0015
v2x_freexp_altinf,2006,2007 - 2008,211,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,212,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,220,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,225,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,230,0,0.9985,0.0015
v2x_freexp_altinf,2006,2007 - 2008,235,0,0.997,0.003
v2x_freexp_altinf,2006,2007 - 2008,260,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,290,5e-4,0.983508,0.016
v2x_freexp_altinf,2006,2007 - 2008,305,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,310,0.0375,0.928090625,0.03575
v2x_freexp_altinf,2006,2007 - 2008,316,0,0.992,0.008
v2x_freexp_altinf,2006,2007 - 2008,317,0.014,0.9580633333333334,0.02833333333333333
v2x_freexp_altinf,2006,2007 - 2008,325,0.0325,0.9413775,0.027
v2x_freexp_altinf,2006,2007 - 2008,339,0.0335,0.93702175,0.0305
v2x_freexp_altinf,2006,2007 - 2008,340,0.0505,0.888732,0.064
v2x_freexp_altinf,2006,2007 - 2008,341,0.3125,0.6020535714285714,0.12428571428571428
v2x_freexp_altinf,2006,2007 - 2008,343,0.187,0.7737727499999999,0.04825
v2x_freexp_altinf,2006,2007 - 2008,344,0.009,0.9739548,0.0172
v2x_freexp_altinf,2006,2007 - 2008,346,0.0525,0.92428625,0.0245
v2x_freexp_altinf,2006,2007 - 2008,349,0.003,0.992015,0.005
v2x_freexp_altinf,2006,2007 - 2008,350,0,0.9995,5e-4
v2x_freexp_altinf,2006,2007 - 2008,352,0.0045,0.99400675,0.0015
v2x_freexp_altinf,2006,2007 - 2008,355,0.006,0.9606181666666668,0.03358333333333333
v2x_freexp_altinf,2006,2007 - 2008,359,0.064125,0.8488386250000001,0.093
v2x_freexp_altinf,2006,2007 - 2008,360,0.12,0.825,0.0625
v2x_freexp_altinf,2006,2007 - 2008,365,0.076,0.8168160000000001,0.116
v2x_freexp_altinf,2006,2007 - 2008,366,0,0.999,0.001
v2x_freexp_altinf,2006,2007 - 2008,367,0.002,0.991513,0.0065
v2x_freexp_altinf,2006,2007 - 2008,368,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,369,0.3405,0.54441725,0.1745
v2x_freexp_altinf,2006,2007 - 2008,370,0.09991666666666664,0.8181757500000001,0.091
v2x_freexp_altinf,2006,2007 - 2008,371,0.03,0.47736125,0.507875
v2x_freexp_altinf,2006,2007 - 2008,372,0.111,0.8441055000000001,0.0505
v2x_freexp_altinf,2006,2007 - 2008,373,0.051,0.8085479999999999,0.148
v2x_freexp_altinf,2006,2007 - 2008,375,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,380,0,0.998,0.002
v2x_freexp_altinf,2006,2007 - 2008,385,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,390,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,395,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,402,0.0015,0.9935075,0.005
v2x_freexp_altinf,2006,2007 - 2008,404,0.043,0.9526935,0.0045
v2x_freexp_altinf,2006,2007 - 2008,411,0.03875,0.960769375,5e-4
v2x_freexp_altinf,2006,2007 - 2008,420,0.057,0.9264975,0.0175
v2x_freexp_altinf,2006,2007 - 2008,432,0.005,0.990025,0.005
v2x_freexp_altinf,2006,2007 - 2008,433,0.002,0.996004,0.002
v2x_freexp_altinf,2006,2007 - 2008,434,0.015,0.4635245833333333,0.5294166666666668
v2x_freexp_altinf,2006,2007 - 2008,435,0.547,0.4106445,0.0935
v2x_freexp_altinf,2006,2007 - 2008,436,0.0155,0.9579185,0.027
v2x_freexp_altinf,2006,2007 - 2008,437,0.0495,0.7455088333333333,0.21566666666666665
v2x_freexp_altinf,2006,2007 - 2008,438,0.1105,0.885942,0.004
v2x_freexp_altinf,2006,2007 - 2008,439,0.019,0.9785475,0.0025
v2x_freexp_altinf,2006,2007 - 2008,450,0.2145,0.7065572499999999,0.1005
v2x_freexp_altinf,2006,2007 - 2008,451,0.0545,0.90058875,0.0475
v2x_freexp_altinf,2006,2007 - 2008,452,0.0055,0.9875385,0.007
v2x_freexp_altinf,2006,2007 - 2008,461,0.5785,0.3780855,0.103
v2x_freexp_altinf,2006,2007 - 2008,471,0.0585,0.939617,0.002
v2x_freexp_altinf,2006,2007 - 2008,475,0.0185,0.971685,0.01
v2x_freexp_altinf,2006,2007 - 2008,481,0.042,0.949378,0.009
v2x_freexp_altinf,2006,2007 - 2008,482,0.0885,0.90101775,0.0115
v2x_freexp_altinf,2006,2007 - 2008,483,0.08308333333333334,0.8944522083333333,0.0245
v2x_freexp_altinf,2006,2007 - 2008,484,0.115125,0.8777959999999999,0.008
v2x_freexp_altinf,2006,2007 - 2008,490,0.384,0.6027560000000001,0.0215
v2x_freexp_altinf,2006,2007 - 2008,500,0.0665,0.90689525,0.0285
v2x_freexp_altinf,2006,2007 - 2008,501,0.028,0.967788,0.00433333333333333
v2x_freexp_altinf,2006,2007 - 2008,510,0.0905,0.891992125,0.01925
v2x_freexp_altinf,2006,2007 - 2008,516,0.2125,0.75639375,0.0395
v2x_freexp_altinf,2006,2007 - 2008,517,0.0645,0.9177255,0.019
v2x_freexp_altinf,2006,2007 - 2008,520,0.8374333333333334,0.15256881666666663,0.0615
v2x_freexp_altinf,2006,2007 - 2008,522,0.026125,0.9724141875,0.0015
v2x_freexp_altinf,2006,2007 - 2008,530,0.10625,0.5260463541666667,0.41141666666666665
v2x_freexp_altinf,2006,2007 - 2008,531,0.01145833333333333,0.9885416666666668,0
v2x_freexp_altinf,2006,2007 - 2008,540,0.16625,0.82457875,0.011
v2x_freexp_altinf,2006,2007 - 2008,541,0.0145,0.98303625,0.0025
v2x_freexp_altinf,2006,2007 - 2008,551,0.0445,0.9163245,0.041
v2x_freexp_altinf,2006,2007 - 2008,552,0.0635,0.8435523749999999,0.09925
v2x_freexp_altinf,2006,2007 - 2008,553,0.05783333333333333,0.9242655,0.019
v2x_freexp_altinf,2006,2007 - 2008,560,0.0015,0.9775315,0.021
v2x_freexp_altinf,2006,2007 - 2008,565,0.002,0.996004,0.002
v2x_freexp_altinf,2006,2007 - 2008,570,0.021,0.973126,0.006
v2x_freexp_altinf,2006,2007 - 2008,571,5e-4,0.997501,0.002
v2x_freexp_altinf,2006,2007 - 2008,572,0.031,0.961248,0.008
v2x_freexp_altinf,2006,2007 - 2008,580,0.0705,0.8653645000000001,0.069
v2x_freexp_altinf,2006,2007 - 2008,581,0.0575,0.9245925,0.019
v2x_freexp_altinf,2006,2007 - 2008,590,0.003,0.993012,0.004
v2x_freexp_altinf,2006,2007 - 2008,600,0.061,0.9319575,0.0075
v2x_freexp_altinf,2006,2007 - 2008,615,0.0355,0.95919525,0.0055
v2x_freexp_altinf,2006,2007 - 2008,616,0.0275,0.9656925,0.007
v2x_freexp_altinf,2006,2007 - 2008,620,0.002,0.998,0
v2x_freexp_altinf,2006,2007 - 2008,625,0.2225,0.7320162499999999,0.0585
v2x_freexp_altinf,2006,2007 - 2008,630,0.23114285714285715,0.2802484285714286,0.6355
v2x_freexp_altinf,2006,2007 - 2008,640,0.092,0.3787268,0.5829
v2x_freexp_altinf,2006,2007 - 2008,645,0.2895,0.6643175,0.065
v2x_freexp_altinf,2006,2007 - 2008,651,0.073,0.9089235,0.0195
v2x_freexp_altinf,2006,2007 - 2008,652,0.0178,0.9797445,0.0025
v2x_freexp_altinf,2006,2007 - 2008,660,0.42525,0.5501794375,0.04275
v2x_freexp_altinf,2006,2007 - 2008,663,0.0355,0.960642,0.004
v2x_freexp_altinf,2006,2007 - 2008,666,0.0125,0.9845375,0.003
v2x_freexp_altinf,2006,2007 - 2008,670,0.038,0.946608,0.016
v2x_freexp_altinf,2006,2007 - 2008,678,0.045,0.9459275,0.0095
v2x_freexp_altinf,2006,2007 - 2008,690,0.048,0.938196,0.0145
v2x_freexp_altinf,2006,2007 - 2008,694,0.005,0.99301,0.002
v2x_freexp_altinf,2006,2007 - 2008,696,0.12333333333333332,0.8499283333333334,0.0305
v2x_freexp_altinf,2006,2007 - 2008,698,0.018,0.971689,0.0105
v2x_freexp_altinf,2006,2007 - 2008,700,0.132,0.8360286666666668,0.03683333333333333
v2x_freexp_altinf,2006,2007 - 2008,701,0.0165,0.9835,0
v2x_freexp_altinf,2006,2007 - 2008,702,0.114,0.705699,0.2035
v2x_freexp_altinf,2006,2007 - 2008,703,0.5138333333333334,0.2564529166666667,0.4725
v2x_freexp_altinf,2006,2007 - 2008,704,0.0475,0.9525,0
v2x_freexp_altinf,2006,2007 - 2008,705,0.05716666666666667,0.9187910833333334,0.0255
v2x_freexp_altinf,2006,2007 - 2008,710,0.1295,0.68987125,0.2075
v2x_freexp_altinf,2006,2007 - 2008,712,0.003,0.979054,0.018
v2x_freexp_altinf,2006,2007 - 2008,713,0.0065,0.99002275,0.0035
v2x_freexp_altinf,2006,2007 - 2008,731,0.006,0.994,0
v2x_freexp_altinf,2006,2007 - 2008,732,0,0.994,0.006
v2x_freexp_altinf,2006,2007 - 2008,740,5e-4,0.9985005,0.001
v2x_freexp_altinf,2006,2007 - 2008,750,0.008,0.960256,0.032
